PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40624238,IL-17A-secreting γδ T cells promote resistance to CDK4/CDK6 inhibitors in HR,2025,Esther Navarro Manzano; Elena García-Martínez; Francisco Ayala de la Peña,"Centro Regional de Hemodonación, Murcia, Spain.; Instituto Murciano de Investigación Biosanitaria (IMIB-Arrixaca), Murcia, Spain.; Universidad de Murcia, Murcia, Spain.; Universidad Católica San Antonio de Murcia, Guadalupe, Spain.",
40624089,Survival outcomes among patients with breast cancer and leptomeningeal disease.,2025,Veronika Moravan,"Applied Statistician, VM Stats, Toronto, ON, Canada.",
40623688,Characterization of Physical Activity Levels in Female Breast Cancer Survivors: Relationship With Lymphedema (AtiLinf).,2025,Pablo Lobo,"Estudios en Actividad Física (LEAF), Universidad de Flores (UFLO), Ciudad Autónoma de Buenos Aires, Argentina.",
40623673,Comparative Evaluation of Anticancer Activity of Sugar-Rich and Crude Moringa Oleifera Lam. Seed Extracts in MCF-7 and MDA-MB-231 Cells.,2025,Patrycja Adamczuk,"Ecobean, Koszykowa 75,00-662 Warsaw, Poland. Electronic address: p.adamczuk@ecobean.pl.","Ecobean, Koszykowa 75,00-662 Warsaw, Poland. Electronic address: p.adamczuk@ecobean.pl."
40623616,Reopening Pandora's box: is there a role for HDL in breast cancer?,2025,Maria Isabela Alves Caldas Sawada,"Programa de Pós-Graduação em Medicina, Universidade Nove de Julho (UNINOVE), 01525-000, São Paulo, Brazil; Grupo de Saúde de Curitiba (GSAU-CT), Brazilian Air Force, 82510-901 Curitiba, Brazil.",
40623284,Women's Insights on Sexual Health After Breast Cancer (WISH-BREAST) Survey.,2025,Corinne Menn,"Alloy Women's Health, New York, NY.",
40623195,CDKN1B (p27/kip1) enhances drug-tolerant persister CTCs by restricting polyploidy following mitotic inhibitors.,2025,Daniel A Haber,"HHMI, Chevy Chase, MD 20815.",
40622713,"Exogenous Hormones, Tumor Intrinsic Subtypes, and Breast Cancer.",2025,Melissa C Southey; Rachel A Murphy; Laure Dossus; Bernd Holleczek; Roger L Milne,"Cancer Control Research, BC Cancer Agency, Vancouver, British Columbia, Canada.; Cancer Epidemiology Division, Cancer Council Victoria, Melbourne, Victoria, Australia.; Nutrition and Metabolism Branch, International Agency for Research on Cancer, Lyon, France.; Saarland Cancer Registry, Saarbrücken, Germany.",
40622536,A multidisciplinary approach for patients with metastatic breast cancer: a mixed method study.,2025,Viviana Fusetti; Cinzia Brunelli; Giuseppe Capri; Giulia Bianchi; Silvia Lo Dico; Ernesto Zecca; Augusto Caraceni,"Palliative Care, Pain Therapy and Rehabilitation Unit, Fondazione IRCCS Istituto Nazionale Dei Tumori, Via Venezian 1, Milan, Italy.; Medical Oncology Unit 1, Fondazione IRCCS Istituto Nazionale Dei Tumori, Via Venezian 1, Milan, Italy.; Palliative Care, Pain Therapy and Rehabilitation Unit, Fondazione IRCCS Istituto Nazionale Dei Tumori, Via Venezian 1, Milan, Italy. viviana.fusetti@istitutotumori.mi.it.","Department of Biomedicine and Prevention, Tor Vergata University of Rome, Via Cracovia 50, Rome, Italy. viviana.fusetti@istitutotumori.mi.it."
40621129,Optimizing Scalp Cooling: (Ultra)Structural Follicular Characteristic and Restorative Advances.,2025,Doerthe Schaffrin-Nabe; Anke Josten-Nabe; Adrian Heinze; Andrea Tannapfel; Merle Schaffrin; Rudolf Voigtmann,"Ruhr-Universität Bochum, Pathologie, Bochum, 44789, Germany.; Praxis für Hämatologie und Onkologie, Bochum, 44799, Germany.; Noack Statistik GmbH, Bonn, 53119, Germany.",
40621063,BCMA: An integrative and versatile database for multi-scale and multi-omics molecular atlas of breast cancer.,2025,Yonghui Gong; Wenjie Lei,"Hainan Zhongke Data Source Technology Co., Ltd., Hainan, China.",
40620104,Rhabdomyolysis induced by darolutamide and rosuvastatin.,2025,E H Lee; M M Charpentier,"South County Health, Wakefield, RI, USA.",
40619603,Optogenetic-Controlled iPSC-Based Vaccines for Prophylactic and Therapeutic Tumor Suppression in Mice.,2025,Xiang Li; Junwei Zhao,"Beijing Life Science Academy, Beijing, 102209, China.",
