PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40624367,"EHA-EMN Evidence-Based Guidelines for diagnosis, treatment and follow-up of patients with multiple myeloma.",2025,Salomon Manier; Elena Zamagni; Michele Cavo; Mohamad Mohty,"INSERM UMR-S1277 and CNRS UMR9020, Lille, France.; Dipartimento di Scienze Mediche e Chirurgiche, Università di Bologna, Bologna, Italy.; Service d'Hématologie Clinique et de Thérapie Cellulaire, Hôpital Saint Antoine, AP-HP, Paris, France.; IRCCS Azienda Ospedaliero-Universitaria di Bologna, Istituto di Ematologia ""Seràgnoli"", Bologna, Italy.",
40624238,IL-17A-secreting γδ T cells promote resistance to CDK4/CDK6 inhibitors in HR,2025,Esther Navarro Manzano; Elena García-Martínez; Francisco Ayala de la Peña,"Instituto Murciano de Investigación Biosanitaria (IMIB-Arrixaca), Murcia, Spain.; Universidad de Murcia, Murcia, Spain.; Universidad Católica San Antonio de Murcia, Guadalupe, Spain.; Centro Regional de Hemodonación, Murcia, Spain.",
40623886,"Platinum and etoposide chemotherapy, durvalumab with thoracic radiotherapy in the first-line treatment of patients with extensive-stage small-cell lung cancer: CHEST-RT (TROG 20.01) Trial - protocol for a phase II study.",2025,Harriet Gee; Courtney Wheeler; Bridget Rooney; Rebecca Montgomery,"Radiation Oncology Network, Western Sydney Local Health District, Sydney, New South Wales, Australia.; Trans Tasman Radiation Oncology Group, Waratah, New South Wales, Australia.",
40623718,"Authors response to ""Letter to the Editor"": ""Tumor mutational burden and survival on immune checkpoint inhibition in >8000 patients across 24 cancer types"".",2025,Ryon P Graf,"Foundation Medicine Inc, San Diego, California, USA rgraf@foundationmedicine.com.","Foundation Medicine Inc, San Diego, California, USA rgraf@foundationmedicine.com."
40623716,Precision targeting of rhabdomyosarcoma by combining primary CAR NK cells and radiotherapy.,2025,Tobias Bexte; Florian Rothweiler; Jindrich Cinatl; Martin Michaelis; Meike Vogler; Franz Rödel; Winfried S Wels; Evelyn Ullrich,"Dr Petra Joh-Haus, Frankfurter Stiftung für krebskranke Kinder, Frankfurt (Main), Germany.; German Cancer Consortium (DKTK), partner site Frankfurt/Mainz, Frankfurt (Main), Germany.","Department of Pediatrics, Experimental Immunology and Cell Therapy, Goethe University Frankfurt, Frankfurt (Main), Germany Evelyn@Ullrichlab.de."
40623177,Common inherited loss-of-function mutations in the innate sensor NOD2 contribute to exceptional immune response to cancer immunotherapy.,2025,Zia Khan; Michael Boyer; Steven C Kao,"Chris O'Brien Lifehouse, Camperdown, NSW 2050, Australia.; Genentech, South San Francisco, CA 94080-4990.",
40623115,Passive immunotherapy for adults hospitalized with COVID-19: An individual participant data meta-analysis of six randomized controlled trials.,2025,Hassan Taha,"Stormont Vail Health, Vail, Colorado, United States of America.",
40622715,Multilevel Intervention and Human Papillomavirus Vaccination Disparities: A Secondary Analysis of a Cluster Randomized Trial.,2025,Jeph Herrin,"Flying Buttress Associates, Charlottesville, Virginia.",
40622253,Novel Autologous Regulatory T-Cell Therapy Ameliorates DSS-Induced Colitis in Humanized Mice.,2025,Md Jabed Khan; Yoo Jin Lee; Su Yeon Lee; Young Mo Kang,"Preclina Inc., 719 & 1302, Teratower B, 167, Songpa-daero, Songpa-gu, Seoul, South Korea.",
40622083,"Helicobacter pylori infection promotes the formation of the β-catenin/HIF-1α complex, enabling adaptive responses in gastric cancer cells.",2025,Camila García-Navarrete; Ignacio Pezoa-Soto; Jorge Toledo; Manuel Varas-Godoy,"Centro Ciencia & Vida, Fundación Ciencia & Vida, Santiago, Chile.; Advanced Scientific Equipment Network (REDECA), Facultad de Medicina, Universidad de Chile, Santiago, Chile.; Centro de Biología Celular y Biomedicina (CEBICEM), Facultad de Ciencias, Universidad San Sebastian, Santiago, Chile.",
